ID,Name,Form,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
426,Drifblim,None,Ghost,Flying,498,150,80,44,90,54,80,4
427,Buneary,None,Normal,None,350,55,66,44,44,56,85,4
428,Lopunny,None,Normal,None,480,65,76,84,54,96,105,4
429,Mismagius,None,Ghost,None,495,60,60,60,105,105,105,4
430,Honchkrow,None,Dark,Flying,505,100,125,52,105,52,71,4
431,Glameow,None,Normal,None,310,49,55,42,42,37,85,4
432,Purugly,None,Normal,None,452,71,82,64,64,59,112,4
433,Chingling,None,Psychic,None,285,45,30,50,65,50,45,4
434,Stunky,None,Poison,Dark,329,63,63,47,41,41,74,4
435,Skuntank,None,Poison,Dark,479,103,93,67,71,61,84,4
436,Bronzor,None,Steel,Psychic,300,57,24,86,24,86,23,4
437,Bronzong,None,Steel,Psychic,500,67,89,116,79,116,33,4
438,Bonsly,None,Rock,None,290,50,80,95,10,45,10,4
439,Mime Jr.,None,Psychic,Fairy,310,20,25,45,70,90,60,4
440,Happiny,None,Normal,None,220,100,5,5,15,65,30,4
441,Chatot,None,Normal,Flying,411,76,65,45,92,42,91,4
442,Spiritomb,None,Ghost,Dark,485,50,92,108,92,108,35,4
443,Gible,None,Dragon,Ground,300,58,70,45,40,45,42,4
444,Gabite,None,Dragon,Ground,410,68,90,65,50,55,82,4
445,Garchomp,None,Dragon,Ground,600,108,130,95,80,85,102,4
446,Munchlax,None,Normal,None,390,135,85,40,40,85,5,4
447,Riolu,None,Fighting,None,285,40,70,40,35,40,60,4
448,Lucario,None,Fighting,Steel,525,70,110,70,115,70,90,4
449,Hippopotas,None,Ground,None,330,68,72,78,38,42,32,4
450,Hippowdon,None,Ground,None,525,108,112,118,68,72,47,4
451,Skorupi,None,Poison,Bug,330,40,50,90,30,55,65,4
452,Drapion,None,Poison,Dark,500,70,90,110,60,75,95,4
453,Croagunk,None,Poison,Fighting,300,48,61,40,61,40,50,4
454,Toxicroak,None,Poison,Fighting,490,83,106,65,86,65,85,4
455,Carnivine,None,Grass,None,454,74,100,72,90,72,46,4
456,Finneon,None,Water,None,330,49,49,56,49,61,66,4
457,Lumineon,None,Water,None,460,69,69,76,69,86,91,4
458,Mantyke,None,Water,Flying,345,45,20,50,60,120,50,4
459,Snover,None,Grass,Ice,334,60,62,50,62,60,40,4
460,Abomasnow,None,Grass,Ice,494,90,92,75,92,85,60,4
461,Weavile,None,Dark,Ice,510,70,120,65,45,85,125,4
462,Magnezone,None,Electric,Steel,535,70,70,115,130,90,60,4
463,Lickilicky,None,Normal,None,515,110,85,95,80,95,50,4
464,Rhyperior,None,Ground,Rock,535,115,140,130,55,55,40,4
465,Tangrowth,None,Grass,None,535,100,100,125,110,50,50,4
466,Electivire,None,Electric,None,540,75,123,67,95,85,95,4
467,Magmortar,None,Fire,None,540,75,95,67,125,95,83,4
468,Togekiss,None,Fairy,Flying,545,85,50,95,120,115,80,4
469,Yanmega,None,Bug,Flying,515,86,76,86,116,56,95,4
470,Leafeon,None,Grass,None,525,65,110,130,60,65,95,4
471,Glaceon,None,Ice,None,525,65,60,110,130,95,65,4
472,Gliscor,None,Ground,Flying,510,75,95,125,45,75,95,4
473,Mamoswine,None,Ice,Ground,530,110,130,80,70,60,80,4
474,Porygon-Z,None,Normal,None,535,85,80,70,135,75,90,4
475,Gallade,None,Psychic,Fighting,518,68,125,65,65,115,80,4
476,Probopass,None,Rock,Steel,525,60,55,145,75,150,40,4
477,Dusknoir,None,Ghost,None,525,45,100,135,65,135,45,4
478,Froslass,None,Ice,Ghost,480,70,80,70,80,70,110,4
479,Rotom,None,Electric,Ghost,440,50,50,77,95,77,91,4
480,Uxie,None,Psychic,None,580,75,75,130,75,130,95,4
481,Mesprit,None,Psychic,None,580,80,105,105,105,105,80,4
482,Azelf,None,Psychic,None,580,75,125,70,125,70,115,4
483,Dialga,None,Steel,Dragon,680,100,120,120,150,100,90,4
484,Palkia,None,Water,Dragon,680,90,120,100,150,120,100,4
485,Heatran,None,Fire,Steel,600,91,90,106,130,106,77,4
486,Regigigas,None,Normal,None,670,110,160,110,80,110,100,4
487,Giratina,Altered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4
488,Cresselia,None,Psychic,None,580,120,70,110,75,120,85,4
489,Phione,None,Water,None,480,80,80,80,80,80,80,4
490,Manaphy,None,Water,None,600,100,100,100,100,100,100,4
491,Darkrai,None,Dark,None,600,70,90,90,135,90,125,4
492,Shaymin,Land Forme,Grass,None,600,100,100,100,100,100,100,4
493,Arceus,None,Normal,None,720,120,120,120,120,120,120,4
494,Victini,None,Psychic,Fire,600,100,100,100,100,100,100,5
495,Snivy,None,Grass,None,308,45,45,55,45,55,63,5
496,Servine,None,Grass,None,413,60,60,75,60,75,83,5
497,Serperior,None,Grass,None,528,75,75,95,75,95,113,5
498,Tepig,None,Fire,None,308,65,63,45,45,45,45,5
499,Pignite,None,Fire,Fighting,418,90,93,55,70,55,55,5
500,Emboar,None,Fire,Fighting,528,110,123,65,100,65,65,5
501,Oshawott,None,Water,None,308,55,55,45,63,45,45,5
502,Dewott,None,Water,None,413,75,75,60,83,60,60,5
503,Samurott,None,Water,None,528,95,100,85,108,70,70,5
504,Patrat,None,Normal,None,255,45,55,39,35,39,42,5
505,Watchog,None,Normal,None,420,60,85,69,60,69,77,5
506,Lillipup,None,Normal,None,275,45,60,45,25,45,55,5
507,Herdier,None,Normal,None,370,65,80,65,35,65,60,5
508,Stoutland,None,Normal,None,500,85,110,90,45,90,80,5
509,Purrloin,None,Dark,None,281,41,50,37,50,37,66,5
510,Liepard,None,Dark,None,446,64,88,50,88,50,106,5
511,Pansage,None,Grass,None,316,50,53,48,53,48,64,5
512,Simisage,None,Grass,None,498,75,98,63,98,63,101,5
513,Pansear,None,Fire,None,316,50,53,48,53,48,64,5
514,Simisear,None,Fire,None,498,75,98,63,98,63,101,5
515,Panpour,None,Water,None,316,50,53,48,53,48,64,5
516,Simipour,None,Water,None,498,75,98,63,98,63,101,5
517,Munna,None,Psychic,None,292,76,25,45,67,55,24,5
518,Musharna,None,Psychic,None,487,116,55,85,107,95,29,5
519,Pidove,None,Normal,Flying,264,50,55,50,36,30,43,5
520,Tranquill,None,Normal,Flying,358,62,77,62,50,42,65,5
521,Unfezant,None,Normal,Flying,488,80,115,80,65,55,93,5
522,Blitzle,None,Electric,None,295,45,60,32,50,32,76,5
523,Zebstrika,None,Electric,None,497,75,100,63,80,63,116,5
524,Roggenrola,None,Rock,None,280,55,75,85,25,25,15,5
525,Boldore,None,Rock,None,390,70,105,105,50,40,20,5
526,Gigalith,None,Rock,None,515,85,135,130,60,80,25,5
527,Woobat,None,Psychic,Flying,323,65,45,43,55,43,72,5
528,Swoobat,None,Psychic,Flying,425,67,57,55,77,55,114,5
529,Drilbur,None,Ground,None,328,60,85,40,30,45,68,5
530,Excadrill,None,Ground,Steel,508,110,135,60,50,65,88,5
531,Audino,None,Normal,None,445,103,60,86,60,86,50,5
532,Timburr,None,Fighting,None,305,75,80,55,25,35,35,5
533,Gurdurr,None,Fighting,None,405,85,105,85,40,50,40,5
534,Conkeldurr,None,Fighting,None,505,105,140,95,55,65,45,5
535,Tympole,None,Water,None,294,50,50,40,50,40,64,5
536,Palpitoad,None,Water,Ground,384,75,65,55,65,55,69,5
537,Seismitoad,None,Water,Ground,509,105,95,75,85,75,74,5
538,Throh,None,Fighting,None,465,120,100,85,30,85,45,5
539,Sawk,None,Fighting,None,465,75,125,75,30,75,85,5
540,Sewaddle,None,Bug,Grass,310,45,53,70,40,60,42,5
541,Swadloon,None,Bug,Grass,380,55,63,90,50,80,42,5
542,Leavanny,None,Bug,Grass,500,75,103,80,70,80,92,5
543,Venipede,None,Bug,Poison,260,30,45,59,30,39,57,5
544,Whirlipede,None,Bug,Poison,360,40,55,99,40,79,47,5
545,Scolipede,None,Bug,Poison,485,60,100,89,55,69,112,5
546,Cottonee,None,Grass,Fairy,280,40,27,60,37,50,66,5
547,Whimsicott,None,Grass,Fairy,480,60,67,85,77,75,116,5
548,Petilil,None,Grass,None,280,45,35,50,70,50,30,5
549,Lilligant,None,Grass,None,480,70,60,75,110,75,90,5
550,Basculin,Blue-Striped Form,Water,None,460,70,92,65,80,55,98,5
551,Sandile,None,Ground,Dark,292,50,72,35,35,35,65,5
552,Krokorok,None,Ground,Dark,351,60,82,45,45,45,74,5
553,Krookodile,None,Ground,Dark,519,95,117,80,65,70,92,5
554,Darumaka,None,Fire,None,315,70,90,45,15,45,50,5
555,Darmanitan,None,Fire,None,480,105,140,55,30,55,95,8
556,Maractus,None,Grass,None,461,75,86,67,106,67,60,5
557,Dwebble,None,Bug,Rock,325,50,65,85,35,35,55,5
558,Crustle,None,Bug,Rock,485,70,105,125,65,75,45,5
559,Scraggy,None,Dark,Fighting,348,50,75,70,35,70,48,5
560,Scrafty,None,Dark,Fighting,488,65,90,115,45,115,58,5
561,Sigilyph,None,Psychic,Flying,490,72,58,80,103,80,97,5
562,Yamask,None,Ghost,None,303,38,30,85,55,65,30,5
563,Cofagrigus,None,Ghost,None,483,58,50,145,95,105,30,5
564,Tirtouga,None,Water,Rock,355,54,78,103,53,45,22,5
565,Carracosta,None,Water,Rock,495,74,108,133,83,65,32,5
566,Archen,None,Rock,Flying,401,55,112,45,74,45,70,5
567,Archeops,None,Rock,Flying,567,75,140,65,112,65,110,5
568,Trubbish,None,Poison,None,329,50,50,62,40,62,65,5
569,Garbodor,None,Poison,None,474,80,95,82,60,82,75,5
570,Zorua,None,Dark,None,330,40,65,40,80,40,65,5
571,Zoroark,None,Dark,None,510,60,105,60,120,60,105,5
572,Minccino,None,Normal,None,300,55,50,40,40,40,75,5
573,Cinccino,None,Normal,None,470,75,95,60,65,60,115,5
574,Gothita,None,Psychic,None,290,45,30,50,55,65,45,5
575,Gothorita,None,Psychic,None,390,60,45,70,75,85,55,5
576,Gothitelle,None,Psychic,None,490,70,55,95,95,110,65,5
577,Solosis,None,Psychic,None,290,45,30,40,105,50,20,5
578,Duosion,None,Psychic,None,370,65,40,50,125,60,30,5
579,Reuniclus,None,Psychic,None,490,110,65,75,125,85,30,5
580,Ducklett,None,Water,Flying,305,62,44,50,44,50,55,5
581,Swanna,None,Water,Flying,473,75,87,63,87,63,98,5
582,Vanillite,None,Ice,None,305,36,50,50,65,60,44,5
583,Vanillish,None,Ice,None,395,51,65,65,80,75,59,5
584,Vanilluxe,None,Ice,None,535,71,95,85,110,95,79,5
585,Deerling,None,Normal,Grass,335,60,60,50,40,50,75,5
586,Sawsbuck,None,Normal,Grass,475,80,100,70,60,70,95,5
587,Emolga,None,Electric,Flying,428,55,75,60,75,60,103,5
588,Karrablast,None,Bug,None,315,50,75,45,40,45,60,5
589,Escavalier,None,Bug,Steel,495,70,135,105,60,105,20,5
590,Foongus,None,Grass,Poison,294,69,55,45,55,55,15,5
591,Amoonguss,None,Grass,Poison,464,114,85,70,85,80,30,5
592,Frillish,None,Water,Ghost,335,55,40,50,65,85,40,5
593,Jellicent,None,Water,Ghost,480,100,60,70,85,105,60,5
594,Alomomola,None,Water,None,470,165,75,80,40,45,65,5
595,Joltik,None,Bug,Electric,319,50,47,50,57,50,65,5
596,Galvantula,None,Bug,Electric,472,70,77,60,97,60,108,5
597,Ferroseed,None,Grass,Steel,305,44,50,91,24,86,10,5
598,Ferrothorn,None,Grass,Steel,489,74,94,131,54,116,20,5
599,Klink,None,Steel,None,300,40,55,70,45,60,30,5
600,Klang,None,Steel,None,440,60,80,95,70,85,50,5
601,Klinklang,None,Steel,None,520,60,100,115,70,85,90,5
602,Tynamo,None,Electric,None,275,35,55,40,45,40,60,5
603,Eelektrik,None,Electric,None,405,65,85,70,75,70,40,5
604,Eelektross,None,Electric,None,515,85,115,80,105,80,50,5
605,Elgyem,None,Psychic,None,335,55,55,55,85,55,30,5
606,Beheeyem,None,Psychic,None,485,75,75,75,125,95,40,5
607,Litwick,None,Ghost,Fire,275,50,30,55,65,55,20,5
608,Lampent,None,Ghost,Fire,370,60,40,60,95,60,55,5
609,Chandelure,None,Ghost,Fire,520,60,55,90,145,90,80,5
610,Axew,None,Dragon,None,320,46,87,60,30,40,57,5
611,Fraxure,None,Dragon,None,410,66,117,70,40,50,67,5
612,Haxorus,None,Dragon,None,540,76,147,90,60,70,97,5
613,Cubchoo,None,Ice,None,305,55,70,40,60,40,40,5
614,Beartic,None,Ice,None,505,95,130,80,70,80,50,5
615,Cryogonal,None,Ice,None,515,80,50,50,95,135,105,5
616,Shelmet,None,Bug,None,305,50,40,85,40,65,25,5
617,Accelgor,None,Bug,None,495,80,70,40,100,60,145,5
618,Stunfisk,None,Ground,Electric,471,109,66,84,81,99,32,5
619,Mienfoo,None,Fighting,None,350,45,85,50,55,50,65,5
620,Mienshao,None,Fighting,None,510,65,125,60,95,60,105,5
621,Druddigon,None,Dragon,None,485,77,120,90,60,90,48,5
622,Golett,None,Ground,Ghost,303,59,74,50,35,50,35,5
623,Golurk,None,Ground,Ghost,483,89,124,80,55,80,55,5
624,Pawniard,None,Dark,Steel,340,45,85,70,40,40,60,5
625,Bisharp,None,Dark,Steel,490,65,125,100,60,70,70,5
626,Bouffalant,None,Normal,None,490,95,110,95,40,95,55,5
627,Rufflet,None,Normal,Flying,350,70,83,50,37,50,60,5
628,Braviary,None,Normal,Flying,510,100,123,75,57,75,80,5
629,Vullaby,None,Dark,Flying,370,70,55,75,45,65,60,5
630,Mandibuzz,None,Dark,Flying,510,110,65,105,55,95,80,5
631,Heatmor,None,Fire,None,484,85,97,66,105,66,65,5
632,Durant,None,Bug,Steel,484,58,109,112,48,48,109,5
633,Deino,None,Dark,Dragon,300,52,65,50,45,50,38,5
634,Zweilous,None,Dark,Dragon,420,72,85,70,65,70,58,5
635,Hydreigon,None,Dark,Dragon,600,92,105,90,125,90,98,5
636,Larvesta,None,Bug,Fire,360,55,85,55,50,55,60,5
637,Volcarona,None,Bug,Fire,550,85,60,65,135,105,100,5
638,Cobalion,None,Steel,Fighting,580,91,90,129,90,72,108,5
639,Terrakion,None,Rock,Fighting,580,91,129,90,72,90,108,5
640,Virizion,None,Grass,Fighting,580,91,90,72,90,129,108,5
641,Tornadus,Incarnate Forme,Flying,None,580,79,115,70,125,80,111,5
642,Thundurus,Incarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5
643,Reshiram,None,Dragon,Fire,680,100,120,100,150,120,90,5
644,Zekrom,None,Dragon,Electric,680,100,150,120,120,100,90,5
645,Landorus,Incarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5
646,Kyurem,None,Dragon,Ice,660,125,130,90,130,90,95,5
647,Keldeo,Ordinary Form,Water,Fighting,580,91,72,90,129,90,108,5
648,Meloetta,Aria Forme,Normal,Psychic,600,100,77,77,128,128,90,5
649,Genesect,None,Bug,Steel,600,71,120,95,120,95,99,5
650,Chespin,None,Grass,None,313,56,61,65,48,45,38,6
651,Quilladin,None,Grass,None,405,61,78,95,56,58,57,6
652,Chesnaught,None,Grass,Fighting,530,88,107,122,74,75,64,6
653,Fennekin,None,Fire,None,307,40,45,40,62,60,60,6
654,Braixen,None,Fire,None,409,59,59,58,90,70,73,6
655,Delphox,None,Fire,Psychic,534,75,69,72,114,100,104,6
656,Froakie,None,Water,None,314,41,56,40,62,44,71,6
657,Frogadier,None,Water,None,405,54,63,52,83,56,97,6
658,Greninja,None,Water,Dark,530,72,95,67,103,71,122,6
659,Bunnelby,None,Normal,None,237,38,36,38,32,36,57,6
660,Diggersby,None,Normal,Ground,423,85,56,77,50,77,78,6
661,Fletchling,None,Normal,Flying,278,45,50,43,40,38,62,6
662,Fletchinder,None,Fire,Flying,382,62,73,55,56,52,84,6
663,Talonflame,None,Fire,Flying,499,78,81,71,74,69,126,6
664,Scatterbug,None,Bug,None,200,38,35,40,27,25,35,6
665,Spewpa,None,Bug,None,213,45,22,60,27,30,29,6
666,Vivillon,None,Bug,Flying,411,80,52,50,90,50,89,6
667,Litleo,None,Fire,Normal,369,62,50,58,73,54,72,6
668,Pyroar,None,Fire,Normal,507,86,68,72,109,66,106,6
669,Flabébé,None,Fairy,None,303,44,38,39,61,79,42,6
670,Floette,None,Fairy,None,371,54,45,47,75,98,52,6
671,Florges,None,Fairy,None,552,78,65,68,112,154,75,6
672,Skiddo,None,Grass,None,350,66,65,48,62,57,52,6
673,Gogoat,None,Grass,None,531,123,100,62,97,81,68,6
674,Pancham,None,Fighting,None,348,67,82,62,46,48,43,6
675,Pangoro,None,Fighting,Dark,495,95,124,78,69,71,58,6
676,Furfrou,None,Normal,None,472,75,80,60,65,90,102,6
677,Espurr,None,Psychic,None,355,62,48,54,63,60,68,6
678,Meowstic,Female,Psychic,None,466,74,48,76,83,81,104,6
679,Honedge,None,Steel,Ghost,325,45,80,100,35,37,28,6
680,Doublade,None,Steel,Ghost,448,59,110,150,45,49,35,6
681,Aegislash,Blade Forme,Steel,Ghost,500,60,140,50,140,50,60,6
682,Spritzee,None,Fairy,None,341,78,52,60,63,65,23,6
683,Aromatisse,None,Fairy,None,462,101,72,72,99,89,29,6
684,Swirlix,None,Fairy,None,341,62,48,66,59,57,49,6
685,Slurpuff,None,Fairy,None,480,82,80,86,85,75,72,6
686,Inkay,None,Dark,Psychic,288,53,54,53,37,46,45,6
687,Malamar,None,Dark,Psychic,482,86,92,88,68,75,73,6
688,Binacle,None,Rock,Water,306,42,52,67,39,56,50,6
689,Barbaracle,None,Rock,Water,500,72,105,115,54,86,68,6
690,Skrelp,None,Poison,Water,320,50,60,60,60,60,30,6
691,Dragalge,None,Poison,Dragon,494,65,75,90,97,123,44,6
692,Clauncher,None,Water,None,330,50,53,62,58,63,44,6
693,Clawitzer,None,Water,None,500,71,73,88,120,89,59,6
694,Helioptile,None,Electric,Normal,289,44,38,33,61,43,70,6
695,Heliolisk,None,Electric,Normal,481,62,55,52,109,94,109,6
696,Tyrunt,None,Rock,Dragon,362,58,89,77,45,45,48,6
697,Tyrantrum,None,Rock,Dragon,521,82,121,119,69,59,71,6
698,Amaura,None,Rock,Ice,362,77,59,50,67,63,46,6
699,Aurorus,None,Rock,Ice,521,123,77,72,99,92,58,6
700,Sylveon,None,Fairy,None,525,95,65,65,110,130,60,6
701,Hawlucha,None,Fighting,Flying,500,78,92,75,74,63,118,6
702,Dedenne,None,Electric,Fairy,431,67,58,57,81,67,101,6
703,Carbink,None,Rock,Fairy,500,50,50,150,50,150,50,6
704,Goomy,None,Dragon,None,300,45,50,35,55,75,40,6
705,Sliggoo,None,Dragon,None,452,68,75,53,83,113,60,6
706,Goodra,None,Dragon,None,600,90,100,70,110,150,80,6
707,Klefki,None,Steel,Fairy,470,57,80,91,80,87,75,6
708,Phantump,None,Ghost,Grass,309,43,70,48,50,60,38,6
709,Trevenant,None,Ghost,Grass,474,85,110,76,65,82,56,6
710,Pumpkaboo,Average Size,Ghost,Grass,335,49,66,70,44,55,51,6
711,Gourgeist,Average Size,Ghost,Grass,494,65,90,122,58,75,84,6
712,Bergmite,None,Ice,None,304,55,69,85,32,35,28,6
713,Avalugg,None,Ice,None,514,95,117,184,44,46,28,6
714,Noibat,None,Flying,Dragon,245,40,30,35,45,40,55,6
715,Noivern,None,Flying,Dragon,535,85,70,80,97,80,123,6
716,Xerneas,None,Fairy,None,680,126,131,95,131,98,99,6
717,Yveltal,None,Dark,Flying,680,126,131,95,131,98,99,6
718,Zygarde10% Forme,None,Dragon,Ground,486,54,100,71,61,85,115,7
719,Diancie,None,Rock,Fairy,600,50,100,150,100,150,50,6
720,Hoopa,Hoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6
721,Volcanion,None,Fire,Water,600,80,110,120,130,90,70,6
722,Rowlet,None,Grass,Flying,320,68,55,55,50,50,42,7
723,Dartrix,None,Grass,Flying,420,78,75,75,70,70,52,7
724,Decidueye,None,Grass,Ghost,530,78,107,75,100,100,70,7
725,Litten,None,Fire,None,320,45,65,40,60,40,70,7
726,Torracat,None,Fire,None,420,65,85,50,80,50,90,7
727,Incineroar,None,Fire,Dark,530,95,115,90,80,90,60,7
728,Popplio,None,Water,None,320,50,54,54,66,56,40,7
729,Brionne,None,Water,None,420,60,69,69,91,81,50,7
730,Primarina,None,Water,Fairy,530,80,74,74,126,116,60,7
731,Pikipek,None,Normal,Flying,265,35,75,30,30,30,65,7
732,Trumbeak,None,Normal,Flying,355,55,85,50,40,50,75,7
733,Toucannon,None,Normal,Flying,485,80,120,75,75,75,60,7
734,Yungoos,None,Normal,None,253,48,70,30,30,30,45,7
735,Gumshoos,None,Normal,None,418,88,110,60,55,60,45,7
736,Grubbin,None,Bug,None,300,47,62,45,55,45,46,7
737,Charjabug,None,Bug,Electric,400,57,82,95,55,75,36,7
738,Vikavolt,None,Bug,Electric,500,77,70,90,145,75,43,7
739,Crabrawler,None,Fighting,None,338,47,82,57,42,47,63,7
740,Crabominable,None,Fighting,Ice,478,97,132,77,62,67,43,7
741,Oricorio,Baile Style,Fire,Flying,476,75,70,70,98,70,93,7
742,Cutiefly,None,Bug,Fairy,304,40,45,40,55,40,84,7
743,Ribombee,None,Bug,Fairy,464,60,55,60,95,70,124,7
744,Rockruff,None,Rock,None,280,45,65,40,30,40,60,7
745,Lycanroc,Dusk Form,Rock,None,487,75,117,65,55,65,110,7
746,Wishiwashi,School Form,Water,None,620,45,140,130,140,135,30,7
747,Mareanie,None,Poison,Water,305,50,53,62,43,52,45,7
748,Toxapex,None,Poison,Water,495,50,63,152,53,142,35,7
749,Mudbray,None,Ground,None,385,70,100,70,45,55,45,7
750,Mudsdale,None,Ground,None,500,100,125,100,55,85,35,7
751,Dewpider,None,Water,Bug,269,38,40,52,40,72,27,7
752,Araquanid,None,Water,Bug,454,68,70,92,50,132,42,7
753,Fomantis,None,Grass,None,250,40,55,35,50,35,35,7
754,Lurantis,None,Grass,None,480,70,105,90,80,90,45,7
755,Morelull,None,Grass,Fairy,285,40,35,55,65,75,15,7
756,Shiinotic,None,Grass,Fairy,405,60,45,80,90,100,30,7
757,Salandit,None,Poison,Fire,320,48,44,40,71,40,77,7
758,Salazzle,None,Poison,Fire,480,68,64,60,111,60,117,7
759,Stufful,None,Normal,Fighting,340,70,75,50,45,50,50,7
760,Bewear,None,Normal,Fighting,500,120,125,80,55,60,60,7
761,Bounsweet,None,Grass,None,210,42,30,38,30,38,32,7
762,Steenee,None,Grass,None,290,52,40,48,40,48,62,7
763,Tsareena,None,Grass,None,510,72,120,98,50,98,72,7
764,Comfey,None,Fairy,None,485,51,52,90,82,110,100,7
765,Oranguru,None,Normal,Psychic,490,90,60,80,90,110,60,7
766,Passimian,None,Fighting,None,490,100,120,90,40,60,80,7
767,Wimpod,None,Bug,Water,230,25,35,40,20,30,80,7
768,Golisopod,None,Bug,Water,530,75,125,140,60,90,40,7
769,Sandygast,None,Ghost,Ground,320,55,55,80,70,45,15,7
770,Palossand,None,Ghost,Ground,480,85,75,110,100,75,35,7
771,Pyukumuku,None,Water,None,410,55,60,130,30,130,5,7
772,Type: Null,None,Normal,None,534,95,95,95,95,95,59,7
773,Silvally,None,Normal,None,570,95,95,95,95,95,95,7
774,Minior,Core Form,Rock,Flying,500,60,100,60,100,60,120,7
775,Komala,None,Normal,None,480,65,115,65,75,95,65,7
776,Turtonator,None,Fire,Dragon,485,60,78,135,91,85,36,7
777,Togedemaru,None,Electric,Steel,435,65,98,63,40,73,96,7
778,Mimikyu,None,Ghost,Fairy,476,55,90,80,50,105,96,7
779,Bruxish,None,Water,Psychic,475,68,105,70,70,70,92,7
780,Drampa,None,Normal,Dragon,485,78,60,85,135,91,36,7
781,Dhelmise,None,Ghost,Grass,517,70,131,100,86,90,40,7
782,Jangmo-o,None,Dragon,None,300,45,55,65,45,45,45,7
783,Hakamo-o,None,Dragon,Fighting,420,55,75,90,65,70,65,7
784,Kommo-o,None,Dragon,Fighting,600,75,110,125,100,105,85,7
785,Tapu Koko,None,Electric,Fairy,570,70,115,85,95,75,130,7
786,Tapu Lele,None,Psychic,Fairy,570,70,85,75,130,115,95,7
787,Tapu Bulu,None,Grass,Fairy,570,70,130,115,85,95,75,7
788,Tapu Fini,None,Water,Fairy,570,70,75,115,95,130,85,7
789,Cosmog,None,Psychic,None,200,43,29,31,29,31,37,7
790,Cosmoem,None,Psychic,None,400,43,29,131,29,131,37,7
791,Solgaleo,None,Psychic,Steel,680,137,137,107,113,89,97,7
792,Lunala,None,Psychic,Ghost,680,137,113,89,137,107,97,7
793,Nihilego,None,Rock,Poison,570,109,53,47,127,131,103,7
794,Buzzwole,None,Bug,Fighting,570,107,139,139,53,53,79,7
795,Pheromosa,None,Bug,Fighting,570,71,137,37,137,37,151,7
796,Xurkitree,None,Electric,None,570,83,89,71,173,71,83,7
797,Celesteela,None,Steel,Flying,570,97,101,103,107,101,61,7
798,Kartana,None,Grass,Steel,570,59,181,131,59,31,109,7
799,Guzzlord,None,Dark,Dragon,570,223,101,53,97,53,43,7
800,Necrozma,None,Psychic,None,600,97,107,101,127,89,79,7
801,Magearna,None,Steel,Fairy,600,80,95,115,130,115,65,7
802,Marshadow,None,Fighting,Ghost,600,90,125,80,90,90,125,7
803,Poipole,None,Poison,None,420,67,73,67,73,67,73,7
804,Naganadel,None,Poison,Dragon,540,73,73,73,127,73,121,7
805,Stakataka,None,Rock,Steel,570,61,131,211,53,101,13,7
806,Blacephalon,None,Fire,Ghost,570,53,127,53,151,79,107,7
807,Zeraora,None,Electric,None,600,88,112,75,102,80,143,7
808,Meltan,None,Steel,None,300,46,65,65,55,35,34,7
809,Melmetal,None,Steel,None,600,135,143,143,80,65,34,7
810,Grookey,None,Grass,None,310,50,65,50,40,40,65,8
811,Thwackey,None,Grass,None,420,70,85,70,55,60,80,8
812,Rillaboom,None,Grass,None,530,100,125,90,60,70,85,8
813,Scorbunny,None,Fire,None,310,50,71,40,40,40,69,8
814,Raboot,None,Fire,None,420,65,86,60,55,60,94,8
815,Cinderace,None,Fire,None,530,80,116,75,65,75,119,8
816,Sobble,None,Water,None,310,50,40,40,70,40,70,8
817,Drizzile,None,Water,None,420,65,60,55,95,55,90,8
818,Inteleon,None,Water,None,530,70,85,65,125,65,120,8
819,Skwovet,None,Normal,None,275,70,55,55,35,35,25,8
820,Greedent,None,Normal,None,460,120,95,95,55,75,20,8
821,Rookidee,None,Flying,None,245,38,47,35,33,35,57,8
822,Corvisquire,None,Flying,None,365,68,67,55,43,55,77,8
823,Corviknight,None,Flying,Steel,495,98,87,105,53,85,67,8
824,Blipbug,None,Bug,None,180,25,20,20,25,45,45,8
825,Dottler,None,Bug,Psychic,335,50,35,80,50,90,30,8
826,Orbeetle,None,Bug,Psychic,505,60,45,110,80,120,90,8
827,Nickit,None,Dark,None,245,40,28,28,47,52,50,8
828,Thievul,None,Dark,None,455,70,58,58,87,92,90,8
829,Gossifleur,None,Grass,None,250,40,40,60,40,60,10,8
830,Eldegoss,None,Grass,None,460,60,50,90,80,120,60,8
831,Wooloo,None,Normal,None,270,42,40,55,40,45,48,8
832,Dubwool,None,Normal,None,490,72,80,100,60,90,88,8
833,Chewtle,None,Water,None,284,50,64,50,38,38,44,8
834,Drednaw,None,Water,Rock,485,90,115,90,48,68,74,8
835,Yamper,None,Electric,None,270,59,45,50,40,50,26,8
836,Boltund,None,Electric,None,490,69,90,60,90,60,121,8
837,Rolycoly,None,Rock,None,240,30,40,50,40,50,30,8
838,Carkol,None,Rock,Fire,410,80,60,90,60,70,50,8
839,Coalossal,None,Rock,Fire,510,110,80,120,80,90,30,8
840,Applin,None,Grass,Dragon,260,40,40,80,40,40,20,8
841,Flapple,None,Grass,Dragon,485,70,110,80,95,60,70,8
842,Appletun,None,Grass,Dragon,485,110,85,80,100,80,30,8
